title,price,img
"Xerox Duplex Portable Document Scanner, Xerox Duplex Portable Scanner, Blue & White",$217.99,https://m.media-amazon.com/images/I/51ukKUo3hxL._AC_UL320_.jpg
"Brother DS-640 Compact Mobile Document Scanner, (Model: DS640)",Not Found,https://m.media-amazon.com/images/I/51NN0QnDxNL._AC_UL320_.jpg
"Brother ADS-4300N Professional Desktop Scanner with Fast Scan Speeds, Duplex, and Networking",$349.99,https://m.media-amazon.com/images/I/71CxM-39F2L._AC_UL320_.jpg
"Epson FastFoto FF-680W Wireless High-Speed Photo and Document Scanning System, Black",$529.99,https://m.media-amazon.com/images/I/718gyHY67LL._AC_UL320_.jpg
"Brother ADS-1800W Wireless Compact Desktop Scanner | Scan Speeds of Up to 30ppm | 2.8"" Color Touchscreen",$259.99,https://m.media-amazon.com/images/I/71jIhAKdw4L._AC_UL320_.jpg
Brother ADS-1350W Wireless Compact Desktop Scanner | Scan Speeds of Up to 30ppm | Single Pass Double-Sided Scanning,$249.99,https://m.media-amazon.com/images/I/61qPHe0+U7L._AC_UL320_.jpg
Ricoh fi-8170 ADF/Manual Feed Scanner - 600 dpi Optical - TAA Compliant,$949.99,https://m.media-amazon.com/images/I/41Xc1LeKrKL._AC_UL320_.jpg
"Epson DS-800WN EdgeLink Wireless Network Color Document Scanner with Duplex Scanning, PC-Free Scanning, 100-page Auto Document Feeder (ADF) and 4.3"" Color Touchscreen",$999.00,https://m.media-amazon.com/images/I/61KnobdRPML._AC_UL320_.jpg
RICOH N7100E Network Scanner with Large Touch Screen,"$1,572.18",https://m.media-amazon.com/images/I/61aEgA9Ha0L._AC_UL320_.jpg
"Brother ScanNCut Mat CAMATS12, 12"" x 12"" Scanning Mat, Non-Tack Mat to Scan Custom Designs, Accessory for ScanNCut Cutting Machine",$19.99,https://m.media-amazon.com/images/I/71eMLMH6dFL._AC_UL320_.jpg
"Brother ADS-3300W Wireless, High-Speed Desktop Scanner | 2.8-inch Touchscreen | Scans Up to 40ppm1 (Renewed Premium)",$289.99,https://m.media-amazon.com/images/I/71cOQobHkKL._AC_UL320_.jpg
"Epson DS-900WN EdgeLink High-Speed Wireless Network Color Document Scanner with Duplex Scanning, PC-Free Scanning, 100-page Auto Document Feeder (ADF) and 4.3"" Color Touchscreen","$1,299.00",https://m.media-amazon.com/images/I/61y6-FJ+HcL._AC_UL320_.jpg
Brother ADS-3100 High-Speed Desktop Scanner | Compact with Scan Speeds of Up to 40ppm,$329.99,https://m.media-amazon.com/images/I/61u30mmLB3L._AC_UL320_.jpg
ScanSnap PA03770-0015 Photo Carrier Sheets (3 Pack),$21.99,https://m.media-amazon.com/images/I/71XVUWzNRUL._AC_UL320_.jpg
"RICOH SP-1425 Price Performing, Color Duplex Scanner with Flatbed and Auto Document Feeder (ADF)",$439.99,https://m.media-amazon.com/images/I/51eF0lyVinL._AC_UL320_.jpg
Epson DS-C490 Duplex Compact Desktop Document Scanner with Auto Document Feeder (ADF),$429.00,https://m.media-amazon.com/images/I/61w50-2kzgL._AC_UL320_.jpg
"IRIScan Pro 5 Color Portable Duplex Document Scanner, Auto Document Feeder (ADF) 20Pages, Ultra Speed 20PPM, 1 Click scan to PDF, Full OCR 138 Languages, Scan to JPG/PDF/Word/Excel/Cloud",$206.19,https://m.media-amazon.com/images/I/81hYcm3kQoL._AC_UL320_.jpg
FI-7800 ADF Mid-Volume Production Scanner,"$7,827.99",https://m.media-amazon.com/images/I/81W73gz7O0L._AC_UL320_.jpg
